Modul 1: Einführung, "Was ist Versionskontrolle?", "Einführung in das Konzept der Versionskontrolle und ihre Bedeutung in der Softwareentwicklung.", "Video"
Modul 1: Einführung, "Quiz zu Versionskontrollsystemen", "Testen Sie Ihr Verständnis über die Grundlagen und Geschichte von Versionskontrollsystemen.", "Quiz"
Modul 1: Einführung, "Geschichte von Git", "Erfahren Sie, wie und warum Git entwickelt wurde und seine Evolution im Vergleich zu anderen VCS.", "Video"
Modul 2: Installation, "Git Installation und Setup", "Anleitung zur Installation und grundlegenden Konfiguration von Git auf verschiedenen Betriebssystemen.", "Video"
Modul 2: Installation, "Erste Schritte mit Git", "Einrichten Ihres ersten Git-Repositories und Konfigurieren der wichtigsten Einstellungen.", "Übung"
Modul 2: Installation, "Quiz zu Git Installation und Setup", "Überprüfen Sie Ihr Wissen und Ihre Fähigkeiten im Umgang mit der Installation und Einrichtung von Git.", "Quiz"
Modul 3: Grundlagen, "Grundlegende Git-Kommandos", "Lernen Sie die wichtigsten Git-Kommandos kennen, um Änderungen zu verfolgen und zu speichern.", "Video"
Modul 3: Grundlagen, "Überprüfung von Änderungen", "Verwendung von Git-Kommandos, um den Status des Repositories und die Historie der Commits zu überprüfen.", "Übung"
Modul 3: Grundlagen, "Quiz zu Git-Grundlagen", "Testen Sie Ihr Verständnis der grundlegenden Git-Befehle und deren Anwendung.", "Quiz"
Modul 4: Branching, "Arbeiten mit Branches", "Einführung in das Branching in Git, einschließlich Erstellung, Wechsel und Löschung von Branches.", "Video"
Modul 4: Branching, "Merge und Rebase", "Verstehen der Unterschiede und Anwendungen von Merge und Rebase zur Integration von Änderungen.", "Video"
Modul 4: Branching, "Branching-Strategien praktisch anwenden", "Üben Sie das Erstellen und Managen von Branches, um effektive Workflow-Strategien zu entwickeln.", "Übung"
Modul 4: Branching, "Quiz zu Branching-Techniken", "Überprüfen Sie Ihr Wissen über Branching, Merging und Rebasing in Git.", "Quiz"
Modul 5: Zusammenarbeit, "Nutzung von Remote-Repositories", "Lernen Sie, wie man mit Remote-Repositories arbeitet, einschließlich Push und Pull.", "Video"
Modul 5: Zusammenarbeit, "Kollaboration und Konfliktmanagement", "Techniken zur effektiven Teamarbeit und Lösung von Merge-Konflikten in Git.", "Video"
Modul 5: Zusammenarbeit, "Teamwork mit Git", "Praktische Übungen zur Zusammenarbeit in Teams unter Verwendung von Git, einschließlich Konfliktlösung.", "Übung"
Modul 5: Zusammenarbeit, "Quiz zur Zusammenarbeit mit Git", "Testen Sie Ihr Verständnis und Ihre Fähigkeiten in der Zusammenarbeit und im Umgang mit Konflikten in Git.", "Quiz"
Modul 6: Fortgeschrittene Techniken, "Fortgeschrittene Git-Features", "Erkundung fortgeschrittener Git-Techniken wie Stashing, Tagging und Hooks.", "Video"
Modul 6: Fortgeschrittene Techniken, "Anwendung fortgeschrittener Techniken", "Praktische Anwendung der gelernten fortgeschrittenen Techniken in realen Szenarien.", "Übung"
Modul 6: Fortgeschrittene Techniken, "Quiz zu fortgeschrittenen Git-Techniken", "Bewerten Sie Ihr Wissen über fortgeschrittene Git-Funktionen wie Stashing, Tagging und den Einsatz von Hooks.", "Quiz"
Modul 7: Best Practices, "Best Practices und Workflows", "Einführung in die Best Practices und populäre Workflows wie Git Flow zur Optimierung Ihres Git-Einsatzes.", "Video"
Modul 7: Best Practices, "Implementierung von Best Practices", "Übung zur Anwendung
